"state","vac1RateCumu_asOfLastMonth","vac2RateCumu_asOfLastMonth","days_exceed3","dailyVac1_permillion_bw3andLastMonth","dailyVac2_permillion_bw3andLastMonth","dailyVac1_permillion_duringLastMonth","dailyVac2_permillion_duringLastMonth"
"Alabama",13.5782761613115,13.5782761613115,414,1178.46069122697,1178.46069122697,489.721180903249,489.721180903249
"Alaska",19.7968375711948,19.7968375711948,395,1506.19055251837,1506.19055251837,109.249458233077,109.249458233077
"Arizona",16.7205085731455,16.7205085731455,408,1405.3752472728,1405.3752472728,631.591724112208,631.591724112208
"Arkansas",14.4799165220803,14.4799165220803,406,1174.68469848214,1174.68469848214,431.541097968226,431.541097968226
"California",19.819158238705,19.819158238705,412,1749.04372677869,1749.04372677869,1012.48620319746,1012.48620319746
"Colorado",20.9754883710592,20.9754883710592,403,1718.42497246139,1718.42497246139,985.23244482593,985.23244482593
"Connecticut",24.4995844654301,24.4995844654301,404,2043.02827313962,2043.02827313962,1096.75828748601,1096.75828748601
"Delaware",19.5400014787977,19.5400014787977,411,1717.06804484356,1717.06804484356,1041.91636285721,1041.91636285721
"District of Columbia",21.0880213787055,21.0880213787055,402,1717.37414820184,1717.37414820184,908.780554760879,908.780554760879
"Florida",17.5998453654591,17.5998453654591,405,1445.50833021876,1445.50833021876,968.181084891644,968.181084891644
"Georgia",14.6500709258734,14.6500709258734,412,1236.41384977822,1236.41384977822,844.745107078456,844.745107078456
"Hawaii",22.6648307018151,22.6648307018151,408,1939.93144287186,1939.93144287186,616.99455854523,616.99455854523
"Idaho",15.2115899533593,15.2115899533593,411,1289.23282429171,1289.23282429171,450.657832093224,450.657832093224
"Illinois",18.4313604177332,18.4313604177332,411,1605.36629153097,1605.36629153097,922.2800528776,922.2800528776
"Indiana",17.2671967444909,17.2671967444909,404,1405.30174480997,1405.30174480997,672.294269996939,672.294269996939
"Iowa",20.098127775295,20.098127775295,408,1720.58458760497,1720.58458760497,622.929791343518,622.929791343518
"Kansas",17.9438776596,17.9438776596,410,1544.26189944536,1544.26189944536,514.645033334945,514.645033334945
"Kentucky",17.6283492547463,17.6283492547463,408,1487.58877052667,1487.58877052667,744.036750949724,744.036750949724
"Louisiana",14.5131619082282,14.5131619082282,404,1151.56114375347,1151.56114375347,488.139088227211,488.139088227211
"Maine",23.7139677372319,23.7139677372319,399,1898.21121266459,1898.21121266459,943.783541056264,943.783541056264
"Maryland",22.0635892075002,22.0635892075002,408,1903.90539654394,1903.90539654394,1231.70060968088,1231.70060968088
"Massachusetts",24.786242385386,24.786242385386,407,2131.30387445952,2131.30387445952,1255.6443222534,1255.6443222534
"Michigan",19.5478517415439,19.5478517415439,405,1620.23397802182,1620.23397802182,753.782631997104,753.782631997104
"Minnesota",20.8981454818329,20.8981454818329,409,1806.24067497319,1806.24067497319,862.956672441771,862.956672441771
"Mississippi",12.7208684780231,12.7208684780231,409,1042.42469545485,1042.42469545485,396.658947193927,396.658947193927
"Missouri",14.7816531908936,14.7816531908936,410,1247.82546436083,1247.82546436083,653.385234308359,653.385234308359
"Montana",17.7159335240808,17.7159335240808,403,1420.74837035372,1420.74837035372,640.918881189545,640.918881189545
"Nebraska",19.4856514241049,19.4856514241049,402,1566.52260518418,1566.52260518418,835.330999324824,835.330999324824
"Nevada",16.7259223234148,16.7259223234148,412,1454.56543809419,1454.56543809419,732.58752834848,732.58752834848
"New Hampshire",22.2761675091251,22.2761675091251,404,1844.84778120393,1844.84778120393,1091.33722225271,1091.33722225271
"New Jersey",22.3541772918616,22.3541772918616,408,1926.54043069875,1926.54043069875,1000.52519015127,1000.52519015127
"New Mexico",22.443627973478,22.443627973478,400,1803.59164999247,1803.59164999247,926.398862282045,926.398862282045
"New York",21.3701876998252,21.3701876998252,405,1788.4682694637,1788.4682694637,1077.04221615841,1077.04221615841
"North Carolina",17.8623712395896,17.8623712395896,408,1490.61844675171,1490.61844675171,592.385021989502,592.385021989502
"North Dakota",16.7906941954854,16.7906941954854,399,1291.22791386492,1291.22791386492,306.532505483213,306.532505483213
"Ohio",18.4779965951185,18.4779965951185,409,1577.25141650857,1577.25141650857,680.948697449319,680.948697449319
"Oklahoma",15.7902218641481,15.7902218641481,404,1261.41872695771,1261.41872695771,711.194855700191,711.194855700191
"Oregon",20.8307203602311,20.8307203602311,404,1725.42383002341,1725.42383002341,1133.88660408911,1133.88660408911
"Pennsylvania",19.911480161403,19.911480161403,410,1731.20246437178,1731.20246437178,894.401089020293,894.401089020293
"Rhode Island",23.7118885818904,23.7118885818904,405,1983.1434844825,1983.1434844825,1137.12797833606,1137.12797833606
"South Carolina",15.635710198702,15.635710198702,411,1339.30900951559,1339.30900951559,742.139593717777,742.139593717777
"South Dakota",19.9039176307242,19.9039176307242,397,1543.26924132021,1543.26924132021,420.743970620541,420.743970620541
"Tennessee",14.86365701035,14.86365701035,400,1149.33877548861,1149.33877548861,543.592874128064,543.592874128064
"Texas",16.2418703961983,16.2418703961983,408,1361.34629348176,1361.34629348176,849.681455146721,849.681455146721
"Utah",14.3893026670967,14.3893026670967,404,1146.67920077021,1146.67920077021,778.912665207274,778.912665207274
"Vermont",25.1367411925531,25.1367411925531,400,2032.3703208517,2032.3703208517,1505.97154343964,1505.97154343964
"Virginia",20.7939610936371,20.7939610936371,410,1793.72707265182,1793.72707265182,1035.13368382244,1035.13368382244
"Washington",21.2666678310516,21.2666678310516,409,1846.65182751305,1846.65182751305,1198.03009283807,1198.03009283807
"West Virginia",16.1874277054282,16.1874277054282,395,1201.65670257264,1201.65670257264,460.782693931159,460.782693931159
"Wisconsin",20.4700130563953,20.4700130563953,408,1749.25889146093,1749.25889146093,742.833113126495,742.833113126495
"Wyoming",14.741196249216,14.741196249216,408,1198.06952206103,1198.06952206103,353.0914226987,353.0914226987
