"country","vac1RateCumu_asOfLastMonth","vac2RateCumu_asOfLastMonth","days_exceed3","dailyVac1_permillion_bw3andLastMonth","dailyVac2_permillion_bw3andLastMonth","population","govex","dailyVac1_permillion_duringLastMonth","dailyVac2_permillion_duringLastMonth"
"Afghanistan",0.381028952659452,0.381028952659452,NA,NA,NA,38928341,TRUE,60.8108660225787,60.8108660225787
"Albania",6.70828410591424,6.70828410591424,459,894.183300352487,894.183300352487,2877800,TRUE,513.648418706942,513.648418706942
"Algeria",0.0427583900341892,0.0427583900341892,NA,NA,NA,43851043,TRUE,445.974605732941,445.974605732941
"Andorra",10.4565456545655,10.4565456545655,435,1094.63742307419,1094.63742307419,77265,TRUE,3758.74399584171,3758.74399584171
"Angola",0.654150176101528,0.654150176101528,NA,NA,NA,32866268,TRUE,154.171453922929,154.171453922929
"Antigua and Barbuda",11.2914590311249,11.2914590311249,440,674.031726854101,674.031726854101,97928,TRUE,1622.40658706462,1622.40658706462
"Argentina",6.70411142616267,6.70411142616267,443,705.814216177946,705.814216177946,45195777,TRUE,1503.03508908979,1503.03508908979
"Armenia",0.224096375784025,0.224096375784025,NA,NA,NA,2963234,TRUE,102.685868906916,102.685868906916
"Australia",4.13683095244641,4.13683095244641,475,629.005313706204,629.005313706204,25459700,TRUE,1087.32434447001,1087.32434447001
"Austria",14.1167780689288,14.1167780689288,416,1258.90172543969,1258.90172543969,9006400,TRUE,2383.04911489464,2383.04911489464
"Azerbaijan",5.55471475736438,5.55471475736438,457,583.592261480506,583.592261480506,10139175,TRUE,1000.91651854667,1000.91651854667
"Bahamas",3.19404040198552,3.19404040198552,483,472.94544024343,472.94544024343,393248,TRUE,837.216898668885,837.216898668885
"Bahrain",25.0781772032278,25.0781772032278,431,2074.85859793325,2074.85859793325,1701583,TRUE,1968.71706162495,1968.71706162495
"Bangladesh",1.50308975897979,1.50308975897979,NA,NA,NA,164689383,TRUE,9.81427231173062,9.81427231173062
"Barbados",12.0392280362319,12.0392280362319,419,1069.95565594344,1069.95565594344,287371,TRUE,780.799149037531,780.799149037531
"Belarus",1.88088117654168,1.88088117654168,508,84.0735011542097,84.0735011542097,9449321,TRUE,305.100433722579,305.100433722579
"Belgium",14.422694373728,14.422694373728,415,1278.02596315504,1278.02596315504,11431406,TRUE,2963.8164115313,2963.8164115313
"Belize",4.73082407619316,4.73082407619316,463,608.394368905291,608.394368905291,397621,TRUE,624.013741079911,624.013741079911
"Bolivia",3.50282475953756,3.50282475953756,483,592.272462988281,592.272462988281,11673029,TRUE,631.356155259909,631.356155259909
"Bosnia and Herzegovina",1.77323317529333,1.77323317529333,NA,NA,NA,3280815,TRUE,550.155884260269,550.155884260269
"Botswana",0.760112688034869,0.760112688034869,NA,NA,NA,2351625,TRUE,507.500818754362,507.500818754362
"Brazil",7.42072750222017,7.42072750222017,442,798.917309364454,798.917309364454,210147125,TRUE,1146.70622369462,1146.70622369462
"Bulgaria",4.86889152896799,4.86889152896799,451,510.917301530165,510.917301530165,6948445,TRUE,473.566155750931,473.566155750931
"Burkina Faso",0,0,NA,NA,NA,20903278,FALSE,NA,NA
"Burma",1.37608497470143,1.37608497470143,NA,NA,NA,54409794,TRUE,55.3063971795106,55.3063971795106
"Cabo Verde",0,0,NA,NA,NA,555988,FALSE,NA,NA
"Cameroon",0.0610537671706598,0.0610537671706598,NA,NA,NA,26545864,TRUE,13.8211798753404,13.8211798753404
"Canada",15.4852466382836,15.4852466382836,431,1640.98034114835,1640.98034114835,37894482,TRUE,2960.81153332136,2960.81153332136
"Central African Republic",0,0,NA,NA,NA,4829764,FALSE,NA,NA
"Chile",26.261375875523,26.261375875523,406,2241.51292297225,2241.51292297225,17576779,TRUE,1941.28287099701,1941.28287099701
"China",11.3757879012598,11.3757879012598,449,1469.80346307135,1469.80346307135,1404676330,TRUE,3476.30881605118,3476.30881605118
"Colombia",5.00499356232879,5.00499356232879,465,682.100189637278,682.100189637278,48258134,TRUE,1383.80248615605,1383.80248615605
"Comoros",0,0,NA,NA,NA,869595,FALSE,NA,NA
"Congo (Brazzaville)",0,0,NA,NA,NA,5518092,FALSE,NA,NA
"Congo (Kinshasa)",0,0,NA,NA,NA,89561404,FALSE,NA,NA
"Costa Rica",7.15434519133259,7.15434519133259,447,814.649351519551,814.649351519551,5094114,TRUE,1555.53182587058,1555.53182587058
"Cote d'Ivoire",0.507754961232302,0.507754961232302,NA,NA,NA,26378275,TRUE,67.6769657190709,67.6769657190709
"Croatia",10.6492803880283,10.6492803880283,433,1088.45087095909,1088.45087095909,4105268,TRUE,1620.17437107638,1620.17437107638
"Cuba",0,0,NA,NA,NA,11326616,FALSE,NA,NA
"Cyprus",11.8528344049543,11.8528344049543,423,1104.89354579458,1104.89354579458,1207361,TRUE,1372.6885704949,1372.6885704949
"Czechia",12.1829670644698,12.1829670644698,423,1144.92022748071,1144.92022748071,10708982,TRUE,2273.37051000438,2273.37051000438
"Denmark",14.1986388237049,14.1986388237049,407,1163.04435883042,1163.04435883042,5897840,TRUE,2281.4079446472,2281.4079446472
"Djibouti",0,0,NA,NA,NA,988002,FALSE,NA,NA
"Dominican Republic",9.70283061133284,9.70283061133284,440,1072.00402128617,1072.00402128617,10847904,TRUE,2628.59088842446,2628.59088842446
"Ecuador",3.12514240726949,3.12514240726949,488,575.909876177942,575.909876177942,17643060,TRUE,889.993554259826,889.993554259826
"Egypt",0.519904337547169,0.519904337547169,NA,NA,NA,102334403,TRUE,169.784686349605,169.784686349605
"El Salvador",7.06202290061625,7.06202290061625,471,1217.47177842109,1217.47177842109,6486201,TRUE,1047.35621101255,1047.35621101255
"Equatorial Guinea",3.91445738906688,3.91445738906688,505,711.259467233338,711.259467233338,1402985,TRUE,259.676746825633,259.676746825633
"Estonia",13.2482158458967,13.2482158458967,415,1158.14480948223,1158.14480948223,1326539,TRUE,1484.50215184024,1484.50215184024
"Eswatini",0.759095265841726,0.759095265841726,NA,NA,NA,1160164,TRUE,86.1669056577207,86.1669056577207
"Ethiopia",0.391023825344762,0.391023825344762,NA,NA,NA,114963583,TRUE,13.4304100848712,13.4304100848712
"Finland",13.263402865838,13.263402865838,416,1175.80429106841,1175.80429106841,5540718,TRUE,1904.56275906666,1904.56275906666
"France",13.2349457599976,13.2349457599976,421,1230.63482181983,1230.63482181983,68151730,TRUE,2107.7170677271,2107.7170677271
"Gabon",0.194003939385226,0.194003939385226,NA,NA,NA,2225728,TRUE,143.106493260748,143.106493260748
"Gambia",0.398172853156252,0.398172853156252,NA,NA,NA,2416664,TRUE,14.9666461033514,14.9666461033514
"Georgia",0.997756428334179,0.997756428334179,NA,NA,NA,3989175,TRUE,409.404321412565,409.404321412565
"Germany",15.0389070178249,15.0389070178249,417,1364.52842256618,1364.52842256618,83019213,TRUE,2421.78423165421,2421.78423165421
"Ghana",0.682161764840764,0.682161764840764,NA,NA,NA,31072945,TRUE,99.9222646021503,99.9222646021503
"Greece",13.1872120806028,13.1872120806028,415,1155.09466097406,1155.09466097406,10423056,TRUE,2238.75041712737,2238.75041712737
"Guatemala",0.676791306688758,0.676791306688758,NA,NA,NA,17915567,TRUE,203.913940930127,203.913940930127
"Guinea",0.645668110787105,0.645668110787105,NA,NA,NA,13132792,TRUE,125.210458158921,125.210458158921
"Guinea-Bissau",0,0,NA,NA,NA,1967998,FALSE,NA,NA
"Guyana",7.80659810643575,7.80659810643575,467,1202.8756305137,1202.8756305137,786559,TRUE,967.935920480751,967.935920480751
"Haiti",0,0,NA,NA,NA,11402533,FALSE,NA,NA
"Honduras",0.527135955304844,0.527135955304844,NA,NA,NA,9904608,TRUE,386.910168316313,386.910168316313
"Hungary",22.6664639479936,22.6664639479936,416,2111.36009564871,2111.36009564871,9660350,TRUE,902.516889373373,902.516889373373
"Iceland",19.2871062271062,19.2871062271062,414,1735.97644185879,1735.97644185879,341250,TRUE,4958.09996455158,4958.09996455158
"India",3.88588199499163,3.88588199499163,461,431.043228057538,431.043228057538,1371336863,TRUE,720.758236271286,720.758236271286
"Indonesia",2.4576660784993,2.4576660784993,471,211.041350774032,211.041350774032,273523621,TRUE,467.478998411975,467.478998411975
"Iran",0.935071600590112,0.935071600590112,NA,NA,NA,83992953,TRUE,247.364934178735,247.364934178735
"Iraq",0.362071574710306,0.362071574710306,NA,NA,NA,40222503,TRUE,44.6760827133941,44.6760827133941
"Ireland",11.894005949213,11.894005949213,414,1011.75716659742,1011.75716659742,4937796,TRUE,2172.71417345688,2172.71417345688
"Israel",30.5632599972665,30.5632599972665,363,1898.81784993382,1898.81784993382,8655541,TRUE,174.293535055716,174.293535055716
"Italy",14.2769493437535,14.2769493437535,419,1314.00262975333,1314.00262975333,60361006,TRUE,2447.85649604914,2447.85649604914
"Jamaica",1.39052722901592,1.39052722901592,NA,NA,NA,2961161,TRUE,232.254151491213,232.254151491213
"Japan",2.44588424220264,2.44588424220264,505,858.611271443006,858.611271443006,126166948,TRUE,2081.66208168009,2081.66208168009
"Jordan",4.66580631060634,4.66580631060634,470,659.967869226277,659.967869226277,10203140,TRUE,1520.56447898044,1520.56447898044
"Kazakhstan",4.18199394600981,4.18199394600981,483,809.748030639852,809.748030639852,18776707,TRUE,942.659451552429,942.659451552429
"Kenya",0.450395006257985,0.450395006257985,NA,NA,NA,53771300,TRUE,61.468814488698,61.468814488698
"Korea, South",0,0,NA,NA,NA,51269183,FALSE,181.655829742053,181.655829742053
"Kosovo",0.762787745682365,0.762787745682365,NA,NA,NA,1810366,TRUE,551.447928565363,551.447928565363
"Kuwait",10.6543329298736,10.6543329298736,433,1029.7448747263,1029.7448747263,4270563,TRUE,2417.14749206634,2417.14749206634
"Kyrgyzstan",0.207309228071342,0.207309228071342,NA,NA,NA,6524191,TRUE,147.835657251011,147.835657251011
"Latvia",9.64461918712842,9.64461918712842,449,1207.10864810273,1207.10864810273,1886202,TRUE,1782.00733879596,1782.00733879596
"Lebanon",2.75503037019434,2.75503037019434,481,352.263947573966,352.263947573966,6825442,TRUE,681.29819143179,681.29819143179
"Lesotho",0,0,NA,NA,NA,2142252,FALSE,NA,NA
"Libya",0,0,NA,NA,NA,6871287,FALSE,NA,NA
"Liechtenstein",13.2312452473975,13.2312452473975,422,1239.44245801391,1239.44245801391,38137,TRUE,2361.81610103472,2361.81610103472
"Lithuania",14.7132323473133,14.7132323473133,414,1291.22968160879,1291.22968160879,2722291,TRUE,2029.55833417396,2029.55833417396
"Luxembourg",13.5840671207842,13.5840671207842,425,1326.89056505625,1326.89056505625,625976,TRUE,2610.90345832078,2610.90345832078
"Madagascar",0,0,NA,NA,NA,27691019,FALSE,NA,NA
"Malawi",0.464053626890393,0.464053626890393,NA,NA,NA,19129955,TRUE,57.8795857579248,57.8795857579248
"Malaysia",2.36471311652432,2.36471311652432,503,644.887956419336,644.887956419336,32365998,TRUE,1251.37123941792,1251.37123941792
"Maldives",21.9513469813632,21.9513469813632,410,1926.43383164752,1926.43383164752,540542,TRUE,484.116838045828,484.116838045828
"Mali",0.135969708704343,0.135969708704343,NA,NA,NA,20250834,TRUE,27.6746865769068,27.6746865769068
"Malta",29.0016283952267,29.0016283952267,396,2290.12895803089,2290.12895803089,441539,TRUE,2787.99395866759,2787.99395866759
"Mauritania",0.15468872992864,0.15468872992864,NA,NA,NA,4649660,TRUE,230.391455608339,230.391455608339
"Mexico",5.92635184568183,5.92635184568183,456,731.741774825647,731.741774825647,127792286,TRUE,935.208147828064,935.208147828064
"Moldova",2.52083373099852,2.52083373099852,503,780.927036076129,780.927036076129,4033963,TRUE,619.504058815835,619.504058815835
"Monaco",19.129675874019,19.129675874019,384,1333.39240432044,1333.39240432044,39244,TRUE,1352.16889534788,1352.16889534788
"Mongolia",23.5173605645867,23.5173605645867,445,3093.06333564319,3093.06333564319,3278292,TRUE,1564.86631138331,1564.86631138331
"Montenegro",8.22148131872331,8.22148131872331,464,1286.0302498308,1286.0302498308,628062,TRUE,1056.96365912509,1056.96365912509
"Morocco",9.51658194926232,9.51658194926232,415,792.481065087981,792.481065087981,36910558,TRUE,1105.39903409995,1105.39903409995
"Mozambique",0.31442931445363,0.31442931445363,NA,NA,NA,31255435,TRUE,11.6823553015401,11.6823553015401
"Namibia",0.734597286962654,0.734597286962654,NA,NA,NA,2540916,TRUE,211.0681547965,211.0681547965
"Nepal",2.40247576192972,2.40247576192972,463,160.884324061076,160.884324061076,29136808,TRUE,153.977723120484,153.977723120484
"Netherlands",12.4536513595057,12.4536513595057,425,1161.65922865257,1161.65922865257,17747554,TRUE,3146.18275775337,3146.18275775337
"Nicaragua",0.632118026360718,0.632118026360718,NA,NA,NA,6624554,TRUE,0,0
"Nigeria",0.24432352239068,0.24432352239068,NA,NA,NA,206139587,TRUE,54.1005944362758,54.1005944362758
"North Macedonia",3.65876604364062,3.65876604364062,497,1009.62580543459,1009.62580543459,2083380,TRUE,920.476155527665,920.476155527665
"Norway",11.98250788288,11.98250788288,414,1015.69636336355,1015.69636336355,5421242,TRUE,2219.49497086437,2219.49497086437
"Oman",1.45347550690065,1.45347550690065,482,-15.2627659675199,-15.2627659675199,5106622,TRUE,1212.70432404144,1212.70432404144
"Pakistan",0.737436376072469,0.737436376072469,NA,NA,NA,207831794,TRUE,381.866345925568,381.866345925568
"Panama",5.9776910369225,5.9776910369225,443,590.999886265095,590.999886265095,4314768,TRUE,939.298437067689,939.298437067689
"Papua New Guinea",0.0322369654187922,0.0322369654187922,NA,NA,NA,8947027,TRUE,35.7237066281275,35.7237066281275
"Paraguay",1.29640884791231,1.29640884791231,NA,NA,NA,7132530,TRUE,467.415466701111,467.415466701111
"Peru",2.94621850671244,2.94621850671244,492,596.235555998284,596.235555998284,32626000,TRUE,883.51240748028,883.51240748028
"Philippines",1.02558187847839,1.02558187847839,NA,NA,NA,109581085,TRUE,437.739779634414,437.739779634414
"Poland",13.1511479034909,13.1511479034909,414,1134.88680807956,1134.88680807956,37846605,TRUE,1988.74999445448,1988.74999445448
"Portugal",13.9306150505256,13.9306150505256,416,1237.52084864261,1237.52084864261,10196707,TRUE,2386.29380148684,2386.29380148684
"Qatar",21.819963832756,21.819963832756,432,2259.81744318311,2259.81744318311,2881060,TRUE,1764.79904461687,1764.79904461687
"Romania",10.0587703341806,10.0587703341806,413,825.545032688137,825.545032688137,19237682,TRUE,524.408461778631,524.408461778631
"Russia",4.98248290129345,4.98248290129345,454,497.742430703142,497.742430703142,146644718,TRUE,621.017440391919,621.017440391919
"Rwanda",0.772254369891653,0.772254369891653,NA,NA,NA,12952209,TRUE,111.123777194822,111.123777194822
"Saint Lucia",6.36759444314351,6.36759444314351,437,506.352551384737,506.352551384737,183629,TRUE,263.504657620493,263.504657620493
"Saint Vincent and the Grenadines",4.38565260890335,4.38565260890335,442,320.063950671358,320.063950671358,110947,TRUE,383.356540190507,383.356540190507
"San Marino",31.289410100772,31.289410100772,431,3478.40179150215,3478.40179150215,33938,TRUE,464.556810426605,464.556810426605
"Sao Tome and Principe",1.65506180387934,1.65506180387934,NA,NA,NA,219161,TRUE,495.916170627839,495.916170627839
"Saudi Arabia",10.0848916036819,10.0848916036819,439,1101.55883364731,1101.55883364731,34813867,TRUE,897.008617562577,897.008617562577
"Senegal",0.766444914664598,0.766444914664598,NA,NA,NA,16743930,TRUE,72.9652958685095,72.9652958685095
"Serbia",13.0269234334817,13.0269234334817,401,1001.67242645048,1001.67242645048,8737370,TRUE,547.702089582061,547.702089582061
"Seychelles",34.1862416107383,34.1862416107383,382,2418.41054034283,2418.41054034283,98340,TRUE,287.10464681454,287.10464681454
"Singapore",15.9344033332746,15.9344033332746,415,1425.34970231068,1425.34970231068,5850343,TRUE,2256.46268007898,2256.46268007898
"Slovakia",11.7342699879827,11.7342699879827,414,999.562590806905,999.562590806905,5459643,TRUE,1559.8576919832,1559.8576919832
"Slovenia",12.7929027981675,12.7929027981675,414,1101.43399233309,1101.43399233309,2078932,TRUE,1661.45715762368,1661.45715762368
"Somalia",0,0,NA,NA,NA,15893219,FALSE,NA,NA
"South Africa",0.406296277999059,0.406296277999059,NA,NA,NA,59308690,TRUE,280.484382479576,280.484382479576
"South Sudan",0.0192205832390618,0.0192205832390618,NA,NA,NA,11193729,TRUE,26.1624020654491,26.1624020654491
"Spain",13.9195387397506,13.9195387397506,415,1223.34025713381,1223.34025713381,46937060,TRUE,2602.37068602631,2602.37068602631
"Sri Lanka",2.18671850373017,2.18671850373017,499,386.752017888869,386.752017888869,21413250,TRUE,685.548930926473,685.548930926473
"Sudan",0.165624197748884,0.165624197748884,NA,NA,NA,43849269,TRUE,71.2589581779904,71.2589581779904
"Suriname",3.53469965941285,3.53469965941285,477,519.24875537213,519.24875537213,586634,TRUE,1556.87279654611,1556.87279654611
"Sweden",12.0957781143305,12.0957781143305,418,1062.86191485817,1062.86191485817,10327589,TRUE,2180.95355416292,2180.95355416292
"Switzerland",13.0610617360581,13.0610617360581,409,1078.27934108617,1078.27934108617,8654618,TRUE,1464.56772483181,1464.56772483181
"Syria",0.00357129449482954,0.00357129449482954,NA,NA,NA,17500657,TRUE,48.742870514205,48.742870514205
"Tajikistan",0,0,NA,NA,NA,9537642,FALSE,NA,NA
"Thailand",1.2929380865994,1.2929380865994,NA,NA,NA,69799978,TRUE,700.483629600627,700.483629600627
"Togo",0.919916890704464,0.919916890704464,NA,NA,NA,8278737,TRUE,41.5132669820093,41.5132669820093
"Trinidad and Tobago",1.68761356807582,1.68761356807582,514,749.647550430834,749.647550430834,1399491,TRUE,1199.03040324269,1199.03040324269
"Tunisia",1.95208526073015,1.95208526073015,502,262.598687209331,262.598687209331,11818618,TRUE,613.161178568889,613.161178568889
"Turkey",8.59866727005647,8.59866727005647,414,691.203326063009,691.203326063009,84339067,TRUE,2011.77212300639,2011.77212300639
"Uganda",0.315382260991233,0.315382260991233,NA,NA,NA,45741000,TRUE,63.5381471130228,63.5381471130228
"Ukraine",0.625029833196187,0.625029833196187,NA,NA,NA,45901049,TRUE,268.579672540325,268.579672540325
"United Arab Emirates",32.3834779179811,32.3834779179811,371,2089.29888822878,2089.29888822878,9890400,TRUE,2013.82800656485,2013.82800656485
"United Kingdom",24.2844150861141,24.2844150861141,381,1687.58281490521,1687.58281490521,66970354,TRUE,1588.04764423413,1588.04764423413
"Uruguay",19.9495455457496,19.9495455457496,440,2421.53077720421,2421.53077720421,3473727,TRUE,2701.43287672884,2701.43287672884
"Uzbekistan",1.22705655429638,1.22705655429638,NA,NA,NA,33469199,TRUE,457.497672566388,457.497672566388
"Venezuela",0.277817408763268,0.277817408763268,NA,NA,NA,28435943,TRUE,326.423543974701,326.423543974701
"West Bank and Gaza",0,0,NA,NA,NA,5101416,FALSE,NA,NA
"Zambia",0.199419809316341,0.199419809316341,NA,NA,NA,18383956,TRUE,2.83425606053873,2.83425606053873
"Zimbabwe",1.7021764959217,1.7021764959217,509,242.54980193336,242.54980193336,14862927,TRUE,173.881979053677,173.881979053677
